地区,现有确诊,累计确诊,治愈,死亡,疫情
香港,1010,8540,7394,136,
台湾,129,783,647,7,
上海,111,1488,1370,7,详情
四川,35,847,809,3,详情
广东,33,2038,1997,8,详情
辽宁,27,316,287,2,详情
福建,21,508,486,1,详情
内蒙古,15,352,336,1,详情
陕西,15,505,487,3,详情
云南,14,229,213,2,详情
北京,13,963,941,9,详情
山东,12,861,842,7,详情
黑龙江,11,961,937,13,详情
浙江,9,1300,1290,1,详情
河南,6,1298,1270,22,详情
山西,3,224,221,0,详情
天津,3,304,298,3,详情
江苏,2,684,682,0,详情
广西,1,264,261,2,详情
湖南,1,1021,1016,4,详情
澳门,0,46,46,0,
重庆,0,590,584,6,详情
吉林,0,157,155,2,详情
宁夏,0,75,75,0,详情
贵州,0,147,145,2,详情
甘肃,0,182,180,2,详情
湖北,0,68149,63637,4512,详情
江西,0,935,934,1,详情
海南,0,171,165,6,详情
青海,0,18,18,0,详情
西藏,0,1,1,0,详情
河北,0,373,367,6,详情
安徽,0,992,986,6,详情
新疆,0,980,977,3,详情
