地区,现有确诊,累计确诊,治愈,死亡,疫情
香港,1253,7721,6345,123,
台湾,124,742,611,7,
上海,88,1418,1323,7,详情
四川,41,838,794,3,详情
广东,40,2021,1973,8,详情
福建,31,503,471,1,详情
内蒙古,26,342,315,1,详情
陕西,16,502,483,3,详情
云南,13,226,211,2,详情
山东,11,859,841,7,详情
黑龙江,11,960,936,13,详情
江苏,9,684,675,0,详情
北京,8,957,940,9,详情
河南,7,1295,1266,22,详情
浙江,6,1297,1290,1,详情
天津,5,303,295,3,详情
山西,2,222,220,0,详情
重庆,1,590,583,6,详情
广西,1,264,261,2,详情
辽宁,0,289,287,2,详情
新疆,0,980,977,3,详情
河北,0,373,367,6,详情
安徽,0,992,986,6,详情
青海,0,18,18,0,详情
海南,0,171,165,6,详情
贵州,0,147,145,2,详情
吉林,0,157,155,2,详情
甘肃,0,182,180,2,详情
江西,0,935,934,1,详情
宁夏,0,75,75,0,详情
西藏,0,1,1,0,详情
湖北,0,68149,63637,4512,详情
澳门,0,46,46,0,
湖南,0,1020,1016,4,详情
